"Keyword Version: 21.4","Revision: 2025-05-23 09:24:06","Timestamp: 2025-06-06 12:21:03","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=xml","Case native"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","COLORADO","","","e10d421b-11fd-4344-b0ad-b4d3eaec2fe5"
"OCEAN","INDIAN OCEAN","COMOROS","","","","e0137b35-e179-4601-8ff5-9292fafe5959"
"CONTINENT","AFRICA","CENTRAL AFRICA","CONGO","","","0ebe4123-f42a-41fb-80ea-bb1b97b9db0b"
"CONTINENT","AFRICA","CENTRAL AFRICA","CONGO, DEMOCRATIC REPUBLIC","","","3682524d-6ff3-4224-a635-9741726f025f"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","CONNECTICUT","","","41ac6bda-027c-438b-b41f-a6e6cb2f03ce"
"CONTINENT","","","","","","0a672f19-dad5-4114-819a-2eb55bdbb56a"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","COOK ISLANDS","","5aab4096-0a38-4c38-88f1-126001f3d037"
"SOLID EARTH","CORE","","","","","05af56f1-42b1-4205-8b85-0f3470f30011"
"SPACE","SOLAR REGION","CORONA","","","","f20c126e-476c-45de-af7e-5800f2237569"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","CORSICA","","09d995de-2158-43f7-b113-9babb9a1593e"
"CONTINENT","NORTH AMERICA","CENTRAL AMERICA","COSTA RICA","","","58ee925e-3285-4192-8f0a-f49a5c211439"
"CONTINENT","AFRICA","WESTERN AFRICA","COTE D'IVOIRE","","","1e41939f-8c5e-4aee-8345-61736accffe4"
"CONTINENT","EUROPE","SOUTHERN EUROPE","CROATIA","","","0a19cdd4-48ec-4551-9e5f-7be860891f94"
"OCEAN","INDIAN OCEAN","CROZET ISLANDS","","","","57307aeb-06c4-443c-bdc3-e554d6414aa6"
"SOLID EARTH","CRUST","","","","","87a9b0a4-c94d-4ccd-a28a-89e2853dcbde"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","CUBA","","3588a42b-43bc-43d1-ad7b-3c43ba3bec4b"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","CURACAO","","f0dd2220-9947-41db-a185-b05aaf26963b"
"SPACE","EARTH MAGNETIC FIELD","CUSP","","","","35f9f5d9-c2fd-420e-a08d-34938fd22d6c"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","CYPRUS","","feff6e5e-27be-4404-af9c-c80b56d48ad4"
"CONTINENT","EUROPE","EASTERN EUROPE","CZECHIA","","","ff28159f-dbc2-4585-bbfd-fbc8cabbffe3"
