"Keyword Version: 21.4","Revision: 2025-05-23 09:24:06","Timestamp: 2025-06-06 12:21:03","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=xml","Case native"
"CONTINENT","NORTH AMERICA","CANADA","ONTARIO","","","b907550e-6aa1-4cbf-b83b-08546f949d12"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","OREGON","","","699d5c22-6bcd-4cfa-be0f-f06e34a63513"
"OCEAN","PACIFIC OCEAN","","","","","a19e4450-64c4-4687-9080-cebded8a90eb"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","PAKISTAN","","","60b17f24-cf23-4209-91c4-975a87a7acb0"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","MICRONESIA","PALAU","","ecac51c2-4def-4dac-b965-a5103402395b"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","PALESTINE","","57be5043-4557-45ad-8ac5-e1f8fbf92efc"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","PALMYRA ATOLL","","","0086ca79-d40d-4119-97d0-f5911df75a37"
"CONTINENT","NORTH AMERICA","CENTRAL AMERICA","PANAMA","","","190f39d7-66d7-4b5a-964f-0d47382d8e2e"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","MELANESIA","PAPUA NEW GUINEA","","f0757092-c0bf-4937-83bc-6011c682bae9"
"CONTINENT","SOUTH AMERICA","PARAGUAY","","","","3456a093-81b0-4f6b-9073-d17502a8072b"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","PENNSYLVANIA","","","d7fa4d05-8c37-4e23-99eb-4f9a888a0d5d"
"OCEAN","INDIAN OCEAN","ARABIAN SEA","PERSIAN GULF","","","9e75b714-9315-42e8-85c7-dbe502659e98"
"CONTINENT","SOUTH AMERICA","PERU","","","","4366972c-aa2d-41cb-b9c3-4d6f57546f65"
"CONTINENT","ANTARCTICA","PETER I ISLAND","","","","9876ec21-7cb3-4f39-b7fe-1bf7c179fa22"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","PHILIPPINES","","","9f78dabd-0540-4724-b093-8c0fc05afd3f"
"SPACE","SOLAR REGION","PHOTOSPHERE","","","","260436f2-f80a-4e2a-9a8a-1c8780e33d13"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","PITCAIRN ISLAND","","060156ad-6f16-4a9f-9515-e59a5aba05b4"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","PITCAIRN ISLANDS","","3c4bed7f-1e6b-435f-878f-70da1601f29b"
"OCEAN","INDIAN OCEAN","AMSTERDAM AND ST. PAUL ISLANDS","POINTE BENEDICTE","","","e58dcd83-8521-4d5a-b528-9cf60a50274d"
"CONTINENT","EUROPE","EASTERN EUROPE","POLAND","","","09029b84-fdf7-45d2-b684-4152c9b55d7d"
"GEOGRAPHIC REGION","POLAR","","","","","3fedcf7c-7b0c-4b51-abd2-2c54de713061"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","","","e5a8c108-e85c-4aa1-8b59-1da5817287ee"
"OCEAN","INDIAN OCEAN","KERGUELEN ISLANDS","PORT-AUX-FRANCAIS","","","4095946b-4a9b-40f5-a0ee-fcfbae12b64e"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MAINE","PORTLAND","","11a7e181-3804-4ec7-8717-446546fdd014"
"CONTINENT","EUROPE","WESTERN EUROPE","PORTUGAL","","","73236574-93e5-4520-ad5d-e298fd28d42d"
"OCEAN","INDIAN OCEAN","CROZET ISLANDS","POSSESSION ISLAND","","","12c922d0-63e7-453e-aef6-d8c4d21d93c0"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MONTANA","PRAIRIE STATION","","00c20a47-aa69-4bed-a60c-800faeb44970"
"CONTINENT","NORTH AMERICA","CANADA","PRINCE EDWARD ISLAND","","","8d1ef0a1-f9e1-4807-9025-717af90479cb"
"CONTINENT","ANTARCTICA","Prydz Bay","","","","adecb0c1-3fba-42df-9e13-26899e868bb5"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","PUERTO RICO","","8e8ff5a7-ca10-4322-a5d6-84c08d73775a"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","QATAR","","1d131de3-da6c-40b9-84a5-02f8696e9f49"
"CONTINENT","NORTH AMERICA","CANADA","QUEBEC","","","c977c83a-f171-4337-8001-abb2539cdc76"
"OCEAN","INDIAN OCEAN","RED SEA","","","","d7808080-aea5-48f3-b0da-78141ef6324e"
"OCEAN","INDIAN OCEAN","REUNION","","","","16cc58c4-fd7b-40b7-8f33-30d26674fd8b"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","RHODE ISLAND","","","ea2ec2ff-f0e5-4366-8255-621ad52f9e5f"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","ROCKALL TROUGH","","","6b36316f-992a-487e-987e-fa0de4a10603"
"CONTINENT","EUROPE","EASTERN EUROPE","ROMANIA","","","0295111a-b3ad-472c-a71c-9161c663716b"
"CONTINENT","ANTARCTICA","ROSS ISLAND","","","","21fb55d8-62f5-4453-b26a-794b6f0e88a5"
"OCEAN","SOUTHERN OCEAN","ROSS SEA","","","","d6cde6e4-f89b-4cde-8bdf-245a4c67c1ff"
"CONTINENT","EUROPE","EASTERN EUROPE","RUSSIAN FEDERATION","","","8c10116a-e71d-45fd-a4b6-92e6b4bf234d"
"CONTINENT","AFRICA","EASTERN AFRICA","RWANDA","","","4a86e5fb-6155-47c0-883b-2edb8e1257aa"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","SABA","","caa8da5b-48da-44fd-946c-24717d8bfdec"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","SABLE ISLAND","","","4e5212a7-40a1-4866-8e58-2ca71cc26054"
"GEOGRAPHIC REGION","SAHEL","","","","","deeef0af-f305-4fd4-9796-e9e1906e5e15"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","SAMOA","","55fcc7db-f0c6-4504-a686-b0318873efa2"
"CONTINENT","EUROPE","SOUTHERN EUROPE","SAN MARINO","","","18493ec7-f2a5-47bc-8200-8d9e0c41dcf3"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","SAO TOME AND PRINCIPE","","","3a607d6a-1d8e-4bd2-8ce3-6d4a6ab21ad3"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","SARDINIA","","26ce44ec-4a5d-413f-ae6e-2064a374c8f1"
"CONTINENT","NORTH AMERICA","CANADA","SASKATCHEWAN","","","c7e30fc4-c8f0-4945-b161-214ab253f170"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","SAUDI ARABIA","","798f3745-be8c-48b0-b903-0265dbe1f957"
"CONTINENT","EUROPE","NORTHERN EUROPE","SCANDINAVIA","","","5367bbef-371d-43be-a4cd-5f4f5ccc4403"
"CONTINENT","NORTH AMERICA","CANADA","NOVA SCOTIA","SCOTIAN SHELF","","aa2adee8-f978-4e6a-921c-be457849d251"
"CONTINENT","ANTARCTICA","SCOTT ISLAND","","","","ac00af1a-62d1-4919-b84d-10a180b4f712"
"VERTICAL LOCATION","SEA FLOOR","","","","","096fd984-efe4-45db-9827-5ef972fedd5d"
"OCEAN","PACIFIC OCEAN","NORTH PACIFIC OCEAN","SEA OF JAPAN","","","d52321c6-ccc4-4a4a-bf94-638e57aaed63"
"OCEAN","PACIFIC OCEAN","NORTH PACIFIC OCEAN","SEA OF OKHOTSK","","","0a63a576-6ceb-43d7-a606-b7a924881000"
"VERTICAL LOCATION","SEA SURFACE","","","","","5810d615-a3fc-4f79-947a-bae456b728c2"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","COLORADO","SENATOR BECK BASIN","","f9cda608-168f-45db-bf48-1c9ac4cb08b0"
"CONTINENT","AFRICA","WESTERN AFRICA","SENEGAL","","","80e7a4da-82a2-449e-87d3-603d857058c5"
"CONTINENT","EUROPE","SOUTHERN EUROPE","SERBIA","","","71c964af-7eec-4812-85de-04cadfd77934"
"OCEAN","INDIAN OCEAN","SEYCHELLES","","","","dc173a40-c1a0-4fd0-b059-2db52ca65639"
"CONTINENT","ANTARCTICA","SEYMOUR ISLAND","","","","b09b4bcf-dd12-4501-bf06-e44aa3b11af6"
"CONTINENT","ANTARCTICA","SHACKLETON GLACIER","","","","151d5071-6896-4605-a902-2a68a7dae901"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","SICILY","","5ff76570-66c1-4095-af0b-f688fd8b026d"
"CONTINENT","AFRICA","WESTERN AFRICA","SIERRA LEONE","","","e17e528b-9730-46ca-9439-09bc2a3cf9c6"
"OCEAN","INDIAN OCEAN","SINGAPORE","","","","6364bdbb-cdec-4059-a2b5-6b873c09fc7d"
"CONTINENT","ANTARCTICA","SIPLE ISLAND","","","","d911a6dc-347c-45e6-8836-764fa7aac223"
"CONTINENT","EUROPE","EASTERN EUROPE","SLOVAKIA","","","c707babd-bca8-46ea-90ab-8cf17a6c50fe"
"CONTINENT","EUROPE","SOUTHERN EUROPE","SLOVENIA","","","1e7cf5e6-e98a-45ae-a300-6ee43aaf9a1d"
"SPACE","SOLAR REGION","SOLAR CORE","","","","52cf52d6-c2d9-4dd5-88a6-580621eebfd4"
"SPACE","SOLAR REGION","SOLAR INTERIOR","","","","2a363f95-3822-468e-98b5-2c92f7c05e00"
"SPACE","SOLAR REGION","","","","","6fa811fb-3666-4970-9208-ca8a21d57138"
"SOLID EARTH","","","","","","cd8541b7-973c-4365-bed3-c4ec0ffd9953"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","MELANESIA","SOLOMON ISLANDS","","34ade06e-d992-45aa-8fd1-9eabd2d417fc"
"CONTINENT","AFRICA","EASTERN AFRICA","SOMALIA","","","48beae8c-e18a-4924-9d39-a6c7b18e29cb"
"CONTINENT","AFRICA","SOUTHERN AFRICA","SOUTH AFRICA","","","fb6d9fe3-10b5-4a75-be97-521d4058a4a9"
"CONTINENT","SOUTH AMERICA","","","","","b7422ce5-a062-4e96-9a8b-36f9e3809e79"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","","","","9ce6b6ba-8f9f-4585-9438-05619d768578"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","SOUTH CAROLINA","","","a163e72a-e31f-4fa6-aef9-8f21f2e4b081"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","SOUTH CHINA AND EASTERN ARCHIPELAGIC SEAS","","","8537ebe8-8768-4463-ad22-8bbe508f43bf"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","SOUTH CHINA SEA","","","89eb3337-707f-496d-9850-a6312ca42ecf"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","SOUTH DAKOTA","","","d401d70a-eacf-4ee7-89a4-70b67f711ccd"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","SOUTH GEORGIA ISLAND","","","a5d18d41-4e95-4442-93ee-6de73403d71f"
"CONTINENT","ASIA","EASTERN ASIA","SOUTH KOREA","","","2c12f87b-a4c7-4aec-b10b-0f3e37560ccf"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","SOUTH ORKNEY ISLANDS","","","798a293e-c19b-4103-93eb-c7eb5b27c214"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","","","","fa0ec8a7-ebed-4f2d-834b-1fa6a1c2e0ed"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","SOUTH SANDWICH ISLANDS","","","baa8382b-6ee9-4a9d-9937-bf0e6b062ac7"
"OCEAN","SOUTHERN OCEAN","SOUTH SHETLAND ISLANDS","","","","fb580be4-2d1c-4226-b8bb-53c3ac03c634"
"CONTINENT","AFRICA","NORTHERN AFRICA","SOUTH SUDAN","","","8cd9397d-ab47-490c-be80-3503be51d5dc"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","","","","ef8a6ecf-f0ca-4e05-81f9-d3be89e1ddc4"
"CONTINENT","ASIA","SOUTHEASTERN ASIA","","","","9ea81338-dc64-4803-b0e2-db0e2aaa70cf"
"CONTINENT","AFRICA","SOUTHERN AFRICA","","","","7147d041-d762-4475-8762-3b00d49ba9a7"
"CONTINENT","ASIA","SOUTHERN ASIA","","","","a8ee0d08-8772-4951-bbf0-4114dd07de03"
"CONTINENT","EUROPE","SOUTHERN EUROPE","","","","10b324f6-0541-42c2-938d-e2acec0de8ed"
"GEOGRAPHIC REGION","SOUTHERN HEMISPHERE","","","","","417235ba-103a-443c-bb43-75a1a772a2e2"
"OCEAN","SOUTHERN OCEAN","","","","","b791f381-1c1c-4958-bc7d-b72a15da1174"
"SPACE","","","","","","3ffa2d97-a066-4b3c-87f9-06779f12e726"
"SPACE","EARTH MAGNETIC FIELD","SPACE","","","","6f2c3b1f-acae-4af0-a759-f0d57ccfc83f"
"CONTINENT","EUROPE","SOUTHERN EUROPE","SPAIN","","","cbbe14fb-a5ee-4236-84ae-cc8dee612b49"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","SOUTH CHINA SEA","SPRATLY ISLANDS","","ad78262c-aa77-41ff-ab1c-507988be9827"
"OCEAN","INDIAN OCEAN","SRI LANKA","","","","149fef08-334f-4eb4-a4b6-12ebe8eb9570"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ST BARTHELEMY","","2a726c91-2cd0-4b08-a301-30396de71b91"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ST EUSTATIUS","","9c1c7783-8214-480b-a1e6-68240ce803ce"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","ST HELENA","","","597b10dd-8822-46a7-922d-7d9a99abd8c1"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ST KITTS AND NEVIS","","b870624c-8668-4c3e-9f0d-6c2f08bce62b"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ST LUCIA","","477a9a14-0c23-4f74-a82b-565fd3a856ab"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ST MAARTEN","","d729cdbb-b302-42fb-8c72-3068302eada6"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ST MARTIN","","74335c3e-c856-48d3-a4de-d6fe4c7db775"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","ST PIERRE AND MIQUELON","","","f2f14e18-261a-426f-96bc-2922264637b2"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","ST VINCENT AND THE GRENADINES","","844d7d6f-e9e8-4632-83e8-115a6e972e18"
"VERTICAL LOCATION","STRATOSPHERE","","","","","106a3756-af68-4ea1-8eae-a6f5e5a2265f"
"CONTINENT","AFRICA","NORTHERN AFRICA","SUDAN","","","35c312f3-ef63-44c1-9668-b6c7f7ff025e"
"OCEAN","INDIAN OCEAN","INDONESIA","SUMATRA","","","8b9f777c-3037-4fcf-9d7f-a2bcb809d2be"
"CONTINENT","SOUTH AMERICA","SURINAME","","","","b2012be4-7977-4d49-ac23-bacd05e9a1d0"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","SVALBARD AND JAN MAYEN","","","706ae2c4-750c-4a96-a7af-5133c357ae5c"
"CONTINENT","EUROPE","NORTHERN EUROPE","SCANDINAVIA","SWEDEN","","2edce566-82e1-4645-a94d-58cffa42f8e2"
"CONTINENT","EUROPE","WESTERN EUROPE","SWITZERLAND","","","fc90f569-b291-40f5-bbe1-5c5c21075686"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","SYRIAN ARAB REPUBLIC","","0d0210bb-0be8-47b0-94f2-8695e226ccc8"
"CONTINENT","ASIA","EASTERN ASIA","TAIWAN","","","d4c65f0d-f825-4040-8dd3-69b85979101a"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","TAJIKISTAN","","","05ccd1da-7d1e-4489-9e12-4168874c1b71"
"CONTINENT","AFRICA","EASTERN AFRICA","TANZANIA","","","28633bd4-eb04-43d6-9c1c-04b4a843fb63"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","TENNESSEE","","","29ad7c2a-42d5-49e6-9093-e758da70432e"
"CONTINENT","ANTARCTICA","TERRA NOVA BAY","","","","ee6ff7cd-2902-4856-bdf3-dc7cf95d0440"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","TEXAS","","","0f01d3b9-3691-471e-b21b-3f42c512dcd2"
"CONTINENT","ASIA","SOUTHEASTERN ASIA","THAILAND","","","6af5848c-db4b-4dd0-a6fb-1b9c904ef21b"
"VERTICAL LOCATION","THERMOSPHERE","","","","","0dc6a186-8da6-4a88-bb6b-3cc3343d2599"
"OCEAN","INDIAN OCEAN","TIMOR-LESTE","","","","f58fbdce-3ee6-4dc1-b9ca-27953d89955f"
"CONTINENT","AFRICA","WESTERN AFRICA","TOGO","","","d66512f7-e44b-4cf0-a3cd-25750934b5f9"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","TOKELAU","","b0b29e5e-6028-49c5-bdc1-c288a7aa83ac"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","TONGA","","dd3f51a1-9fe0-47ce-bdd5-772df3e450d5"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","TRINIDAD AND TOBAGO","","b117b0ec-3013-48a2-81b5-58215bca8e1e"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","TRISTAN DA CUNHA","","35203540-ed8a-4087-82aa-bfcdc3bc11ec"
"GEOGRAPHIC REGION","TROPICS","","","","","639c23bd-f64a-4061-a535-4a1a842d230f"
"VERTICAL LOCATION","TROPOSPHERE","","","","","1d6baa6e-5a29-4d4e-add7-a2b1ddfff712"
"CONTINENT","AFRICA","NORTHERN AFRICA","TUNISIA","","","434da207-97f4-4bb5-9550-40b0237f0a3f"
"CONTINENT","ASIA","WESTERN ASIA","TURKEY","","","26aad1c3-3d0e-4e4d-b1fe-e20961bb6b90"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","TURKMENISTAN","","","d62d5dfe-b9a8-4107-aa4e-126192d5a487"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","TURKS AND CAICOS ISLANDS","","00fdb6a0-3063-45d3-9930-71b5a9a3206c"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","TUVALU","","09f61b6a-c4ef-46d1-be0d-16b396f84a16"
"CONTINENT","AFRICA","EASTERN AFRICA","UGANDA","","","cdb3d558-8f51-45bc-8845-7362c63aa0f7"
"CONTINENT","EUROPE","EASTERN EUROPE","UKRAINE","","","83b75894-bceb-466a-b7d4-a6cd37521ffc"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","UNITED ARAB EMIRATES","","7bc3667c-98be-4b3f-b831-33e1a784a37c"
"CONTINENT","EUROPE","NORTHERN EUROPE","BRITISH ISLES","UNITED KINGDOM","","1928f419-0c4b-4b06-9f66-eb37f49105de"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","UNITED STATES MINOR OUTLYING ISLANDS","","","1e3fd59a-fed3-4c99-8e3f-28c16c0fcea1"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","","","","753f915c-70d4-49e1-9bd5-83e75f461e30"
"CONTINENT","SOUTH AMERICA","URUGUAY","","","","989f1016-3a59-4520-935e-0f75467a740a"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","UTAH","","","71a722af-0cd9-4052-b4e8-f3af56201401"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","UZBEKISTAN","","","4642acf0-c21c-48a6-91f4-6fbd6d0966d4"
"SPACE","EARTH MAGNETIC FIELD","VAN ALLEN RADIATION BELTS","","","","50e1aaa9-fea0-4322-8ba1-cf39efce9daa"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","MELANESIA","VANUATU","","dc107028-a895-4ec0-8570-dba4caf0468c"
"CONTINENT","EUROPE","SOUTHERN EUROPE","VATICAN CITY","","","538d7162-9823-4942-ae11-3131c8fbd245"
"CONTINENT","SOUTH AMERICA","VENEZUELA","","","","3bd4aae9-4415-44bb-ad97-5db303ad8cd8"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","VERMONT","","","359e1e8f-1789-4c32-9afc-79c2fd6f9884"
"VERTICAL LOCATION","","","","","","f1d9391a-071b-4264-a409-de3739e516d0"
"CONTINENT","ASIA","SOUTHEASTERN ASIA","VIETNAM","","","8f4b20b4-633c-4a2e-941d-49e4b5ab3374"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","VIRGIN ISLANDS","","2ed1d456-b067-45bc-857f-8ba5fe87035e"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","VIRGINIA","","","c86d3f12-106a-435d-ba9e-d735b306b200"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","WAKE ISLAND","","","e142eefd-c5cb-48b4-8bdd-87a3ddc7ad8f"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","WALLIS AND FUTUNA ISLANDS","","37c58b9a-dbba-4941-bcc9-99b2ef10c43c"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","WASHINGTON","","","dcef091b-18b5-48bf-b191-69ab7a3511f1"
"OCEAN","SOUTHERN OCEAN","WEDDELL SEA","","","","8a101ca4-ba38-4e32-a14c-59501e4927d0"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","WEST VIRGINIA","","","5f5917c3-7225-47d1-b465-03d7b8338060"
"CONTINENT","AFRICA","WESTERN AFRICA","","","","0bd7d518-6e4d-455e-95cd-2add85fc88fa"
"CONTINENT","ASIA","WESTERN ASIA","","","","1b6309ac-463b-4512-ab29-9870f3f8ba19"
"CONTINENT","EUROPE","WESTERN EUROPE","","","","0cd8148f-6feb-42ea-b867-5af9a933d673"
"GEOGRAPHIC REGION","WESTERN HEMISPHERE","","","","","a29a6a2b-e0e5-4ba9-9768-df67db4f34a6"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","","","","922a749a-d663-495f-bd26-31e6cfb89c57"
"CONTINENT","AFRICA","WESTERN AFRICA","WESTERN SAHARA","","","fab1118b-afa8-4cfd-a05b-ed808392e910"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","WESTERN UNITED STATES","","","de433636-5ea1-47b0-9b86-95e081eefab4"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","WISCONSIN","","","d8ad42ae-624f-48a2-be40-cf04c53e6543"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","WYOMING","","","c2847793-0bb8-41cf-b3e0-d4e4b27914ce"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","YELLOW SEA","","","d3e1cc23-39d3-42af-ab7e-c4f7a59858b7"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","YEMEN","","50d3d6bf-d409-466d-9ad8-469bf5d110a4"
"CONTINENT","NORTH AMERICA","CANADA","YUKON TERRITORY","","","5da3b055-4215-4ec5-95f7-fdca626ebf57"
"CONTINENT","AFRICA","EASTERN AFRICA","ZAMBIA","","","d019b59f-23d5-4ee5-9b3a-ee8ed75d666d"
"OCEAN","INDIAN OCEAN","ZANZIBAR","","","","02fb6908-e5bd-4dd0-a627-2f6e13b4281f"
"CONTINENT","AFRICA","EASTERN AFRICA","ZIMBABWE","","","ab8482e0-3abc-48ce-9216-a9932b0bb090"
