"Hits: 184","page_num: 1","page_size: 2000","Keyword Version: 21.0","Revision: 2025-03-14 10:18:11","Timestamp: 2025-04-16 11:29:51","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/chronounits/?format=xml","Case native"
Eon,Era,Period,Epoch,Age,Sub-Age,UUID
"PHANEROZOIC","","","","","","af145656-986a-4969-bb77-6e5b2cff1ede"
"PHANEROZOIC","CENOZOIC","NEOGENE","PLIOCENE","PIACENZIAN","","430b7535-b720-4b3e-a497-5517eb571a75"
"PHANEROZOIC","CENOZOIC","QUATERNARY","PLEISTOCENE","","","a686e751-3639-4cd0-840b-c8ad25c441c1"
"PHANEROZOIC","MESOZOIC","JURASSIC","EARLY","PLIENSBACHIAN","","2dd020ac-d5ee-4f39-8a55-3d80a84854a7"
"PHANEROZOIC","CENOZOIC","NEOGENE","PLIOCENE","","","6cb96c3b-1a1c-4d26-a894-2638d5cd05d1"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","EARLY","PRAGIAN","","2c142df4-aede-4962-b141-3b84cea639b0"
"PHANEROZOIC","CENOZOIC","PALEOGENE","EOCENE","PRIABONIAN","","788fb9ec-4963-40cc-8409-398dede7754b"
"PHANEROZOIC","PALEOZOIC","SILURIAN","PRIDOLI","","","38271019-de23-4b2e-85ed-15af2f3a11bc"
"PROTEROZOIC","","","","","","4407ca3c-3dc0-402c-bfc3-4dabd23f283a"
"PHANEROZOIC","CENOZOIC","QUATERNARY","","","","c7e7fb38-44ef-4c5b-aa1d-b3fdcf89d838"
"PHANEROZOIC","MESOZOIC","TRIASSIC","LATE","RHAETIAN","","ff133a4b-a23a-4710-93d3-2b802b21c8c4"
"PHANEROZOIC","PALEOZOIC","SILURIAN","LLANDOVERY","RHUDDANIAN","","4b67850f-0a8a-4e35-b6db-ea37d8cbfbea"
"PROTEROZOIC","PALEOPROTEROZOIC","RHYACIAN","","","","65e898c9-b329-4b1e-b34c-c3b36af720d3"
"PHANEROZOIC","PALEOZOIC","PERMIAN","GUADALUPIAN","ROADIAN","","5ba80ec4-1060-4228-ab97-d7c24980c97e"
"PHANEROZOIC","CENOZOIC","PALEOGENE","OLIGOCENE","RUPELIAN","","bb81d8bd-f837-4893-b560-921c28359975"
"PHANEROZOIC","PALEOZOIC","PERMIAN","CISURALIAN","SAKMARIAN","","feb84480-e62e-4999-b8ce-ad7df84dae5d"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","LATE","SANDBIAN","","08eaa5b8-60b3-4872-a0ad-d3dc4bb00d83"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","LATE","SANTONIAN","","2fc19a25-4320-4513-a4a3-f20548ed1daa"
"PHANEROZOIC","CENOZOIC","PALEOGENE","PALEOCENE","SELANDIAN","","1f28f84d-f0ab-484e-8eea-2c9f5c141558"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","SERIES 2","","","c98a4c91-1b1d-464d-8380-497a186db7eb"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","MISSISSIPPIAN","LATE","SERPUKHOVIAN","a5aede69-96cd-45bf-8a53-fe5c8fa3f3dc"
"PHANEROZOIC","CENOZOIC","NEOGENE","MIOCENE","SERRAVALLIAN","","8f22650c-e749-4775-a99a-9978a89456d0"
"PHANEROZOIC","PALEOZOIC","SILURIAN","WENLOCK","SHEINWOODIAN","","a4ceb190-02b5-4eeb-b9c8-0d1445006f8e"
"PROTEROZOIC","PALEOPROTEROZOIC","SIDERIAN","","","","0b4a037a-03fb-475e-b1c4-f18bca899b80"
"PHANEROZOIC","PALEOZOIC","SILURIAN","","","","3be2d037-28aa-40c7-8877-530fbcaa2c03"
"PHANEROZOIC","MESOZOIC","JURASSIC","EARLY","SINEMURIAN","","071a00d6-29c6-460a-9d59-d593e430d263"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","FURONGIAN","STAGE 10","","d1d5b9db-42c5-4dea-a9c6-c0074eb3f3e8"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","TERRENEUVIAN","STAGE 2","","81cc3a0f-1084-42b4-9e40-637aad46aff4"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","SERIES 2","STAGE 3","","16e234b5-5ecb-4e03-b4ec-7a5e03db8017"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","SERIES 2","STAGE 4","","81103299-c23d-4a11-9a04-c1041fea5d1b"
"PROTEROZOIC","PALEOPROTEROZOIC","STATHERIAN","","","","10a82168-ba73-426c-9cc5-ecaae260cf39"
"PROTEROZOIC","MESOPROTEROZOIC","STENIAN","","","","4639c868-7e0e-46df-9c18-e04f9e0f042d"
"PHANEROZOIC","PALEOZOIC","SILURIAN","LLANDOVERY","TELYCHIAN","","608cfddd-ac10-4617-815c-1171a00ab54a"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","TERRENEUVIAN","","","411f36cf-8c87-474c-bfaf-614723a4b938"
"PHANEROZOIC","CENOZOIC","PALEOGENE","PALEOCENE","THANETIAN","","979bcb67-30f0-49c8-8e8e-fb7412e75efa"
"PHANEROZOIC","MESOZOIC","JURASSIC","LATE","TITHONIAN","","a600cd3f-c92f-4a5b-a381-24e6f4904c9c"
"PHANEROZOIC","MESOZOIC","JURASSIC","EARLY","TOARCIAN","","07d16792-c709-4db2-a744-97619e9bc680"
"PROTEROZOIC","NEOPROTEROZOIC","TONIAN","","","","cc40a250-0fea-4668-9bc5-33ba16ccb2a6"
"PHANEROZOIC","CENOZOIC","NEOGENE","MIOCENE","TORTONIAN","","a9eca563-b06d-433d-b00b-deb3a3572f02"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","MISSISSIPPIAN","EARLY","TOURNAISIAN","a3e3914d-7777-4e91-80ca-60264adb1e73"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","EARLY","TREMADOCIAN","","cb8eee5d-fd20-4465-a917-051562f5fcd1"
"PHANEROZOIC","MESOZOIC","TRIASSIC","","","","b44427cd-4b20-42a3-9e14-8d1f6d8399d5"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","LATE","TURONIAN","","4912ab7c-dd62-48df-975c-e3e107a4b09b"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","EARLY","VALANGINIAN","","9ff94259-fc2a-4899-b878-736daf6b3f94"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","MISSISSIPPIAN","MIDDLE","VISEAN","e7f66704-f02e-4480-89d8-f0d5c28a18a3"
"PHANEROZOIC","PALEOZOIC","SILURIAN","WENLOCK","","","cda42e0a-bac4-4ca6-b20d-c09b45e8717b"
"PHANEROZOIC","PALEOZOIC","PERMIAN","GUADALUPIAN","WORDIAN","","92c8e901-67e5-4d5a-8744-1ffb7f5ec4cb"
"PHANEROZOIC","PALEOZOIC","PERMIAN","LOPINGIAN","WUCHIAPINGIAN","","4d1a1c38-1c05-4bae-8810-aa1bb03ed1d2"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","MIAOLINGIAN","WULIUAN","","639cf686-6c06-42a9-8ed1-79fe81c690fa"
"PHANEROZOIC","CENOZOIC","PALEOGENE","EOCENE","YPRESIAN","","b5657be8-24d2-4cf0-90c2-c01922c74079"
"PHANEROZOIC","CENOZOIC","NEOGENE","PLIOCENE","ZANCLEAN","","cd16d901-1c9f-4373-ab7d-d5292049b7a6"
